no,Date,Time,Currency,Impact,News description,Actual,Forecast,Previous,Revised from,FF event ID
1,2007-01-01,0:01,CAD,N,Bank Holiday [All Day],,,,,12245
3,2007-01-01,0:01,EUR,N,French Bank Holiday [All Day],,,,,12214

